id_provisional,arm_id,study_id,pathogen_scope,resistance_class,resistance_class_source,dtr_status,route,modality,study_design,extraction_status,n_arm,clinical_success_n,adverse_event_n,microbio_eradication_n,mortality_n,los_days,resistance_emergence_n,publication_year,clinical_success_definition,journal_tier,geographic_source,extraction_citation,incomplete_reason,alerta_microbiologia,alerta_revision,registrado_en
EST-177,A,,,,,,topical/local,,RCT,PARTIAL,20,,,,,,,2021,,,Polonia,Resumen del registro bibliográfico; texto completo NO consultado,,Los organismos reportados son enterobacterias y estreptococos. NO se menciona P. aeruginosa en ningun momento.,"ECA doble ciego con placebo, buen diseno, pero probable exclusion con codigo ORG si ningun paciente tenia Pseudomonas.",2026-08-10 19:38
EST-178,A,,,,,,,,non-randomised trial,PARTIAL,80,,,,,,,2021,,,Ucrania,Resumen del registro bibliográfico; texto completo NO consultado,,"Organismos declarados: S. aureus, S. pneumoniae, H. influenzae y M. catarrhalis. NINGUNO es P. aeruginosa.",ALERTA: rinosinusitis aguda por patogenos respiratorios habituales. Excluir con codigo ORG.,2026-08-10 19:38
EST-179,A,,,,,,,,case series,PARTIAL,,,,,,,,2022,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Sindrome de vejiga dolorosa con infeccion urinaria recurrente. Ni organismos ni cifras en el resumen.,Observaciones clinicas sin n declarado ni desenlaces cuantificados. Puede que no haya nada extraible.,2026-08-10 19:38
EST-180,A,,,,,,other,,RCT,PARTIAL,20,,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Descontaminacion del espacio subglotico incluida. Sin organismo diana identificado.,"ALERTA DE PICO: es PREVENCION de neumonia asociada a ventilador. Pero tiene tres brazos aleatorizados (control, antiseptico local y bacteriofago), lo que es valioso si la pregunta lo admite.",2026-08-10 19:38
EST-181,A,,,,,,,phage+antibiotic combination,non-randomised trial,PARTIAL,23,22,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Preparado de fagos especifico mas antibiotico etiotropico en infeccion periprotesica profunda de cadera. Sin desglose de organismos.,"Recaidas 4,5 por ciento frente a 36,4 por ciento, p=0,021. Pero el comparador es HISTORICO y retrospectivo, no concurrente: efecto grande con riesgo de sesgo alto. Extraer con esa advertencia.",2026-08-10 19:38
EST-183,A,,,,,,,,prospective cohort,PARTIAL,46,,,,,,,2025,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Exigieron test rapido de estreptococo NEGATIVO para entrar. Es una infeccion respiratoria aguda de ninos, cuadro donde P. aeruginosa es excepcional.",46 ninos de 1 a 17 anos con seguimiento prospectivo. Alto riesgo de exclusion con codigo ORG si no hay ningun aislado de Pseudomonas.,2026-08-10 19:42
EST-184,A,,,,,,,,case report,PARTIAL,1,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. Infeccion cutanea multirresistente recurrente sobre enfermedad de Darier. Organismo desconocido.,Sin resumen: hay que confirmar en el texto completo que la intervencion sea fagoterapia y no solo antibiotico. Riesgo de codigo OFF.,2026-08-10 19:42
EST-185,A,,,,,,,,retrospective cohort,PARTIAL,10,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Mediastinitis esternal en trasplantados de corazon y pulmon, con perfiles microbiologicos complejos e inmunosupresion cronica. Sin organismos desglosados.","Es una serie quirurgica reconstructiva con revision sistematica adosada: la intervencion evaluada es el algoritmo de reconstruccion, no el fago. Riesgo alto de codigo OFF, y si predomina la parte de revision, codigo REV.",2026-08-10 19:42
EST-188,A,,,,,,,,RCT,PARTIAL,,,,,,,,2020,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Infeccion urinaria recurrente por bacterias multirresistentes en trasplantadas renales posmenopausicas. Sin desglose de organismos.,Publicado en un suplemento de Nephrology Dialysis Transplantation: casi con seguridad RESUMEN DE CONGRESO. Aplicar la regla acordada para resumenes de congreso. No da n por brazo.,2026-08-10 19:42
EST-189,A,,,,,,,phage monotherapy,retrospective cohort,PARTIAL,33,,,,,,,2024,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Microflora oportunista intestinal en lactantes de 1 a 12 meses. En esa edad predominan Klebsiella, Proteus y S. aureus; P. aeruginosa es posible pero infrecuente.","Tres grupos comparados con brazo de fago SOLO (n=33), que es lo escaso en el corpus: nifuroxazida 39, piofago 33, combinado 34, total 106. Comprobar cuantos aislados eran Pseudomonas antes de usar nada.",2026-08-10 19:42
EST-193,A,,,,,,,,non-randomised trial,PARTIAL,40,,,,,,,2016,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Endometritis cronica inespecifica. La ozonoterapia precede al piobacteriofago, asi que el efecto es de la combinacion, no del fago.","POSIBLE SOLAPAMIENTO con EST-139 y EST-168: mismo esquema ozono mas piobacteriofago en patologia ginecologica rusa. Contrastar centro, anos de reclutamiento y autores. Los desenlaces son inmunologicos (CD3, CD4, CD8, IL-6), no curacion.",2026-08-10 19:42
EST-194,A,,,,,,,,RCT,PARTIAL,62,,,,,,,2019,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Endometritis cronica inespecifica en mujeres con infertilidad. No se declaran organismos.,"Aleatorizado con 115 pacientes, pero la laserterapia es cointervencion en el brazo del fago y el comparador lleva antibiotico mas inmunomoduladores mas vitaminas: los brazos difieren en varias cosas a la vez.",2026-08-10 19:42
EST-195,A,,,,,,topical/local,,non-randomised trial,PARTIAL,,,,,,,,2019,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Los geles Fagogin y Fagoderm llevan 40 bacteriofagos contra microorganismos oportunistas de mucosa vaginal y piel. Sin organismo diana identificado.,"DENOMINADORES INCOHERENTES: dice 141 pacientes (66 mas 75) pero solo 18 mas 25 igual a 43 recibieron el gel en las suturas, y el control es de 98. Las cifras no cierran en el resumen. Ademas es PREVENCION de complicaciones de herida, no tratamiento.",2026-08-10 19:42
EST-196,A,,,,,,,,non-randomised trial,PARTIAL,30,,,,,,,2020,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Urocultivo previo con sensibilidad a antibioticos Y a bacteriofagos, con muestreo repetido a los dias 3 y 7. Buen protocolo microbiologico.","ALERTA DE PICO: es PROFILAXIS antimicrobiana perioperatoria de nefrolitotomia percutanea, no tratamiento de una infeccion establecida. Tres grupos de 30.",2026-08-10 19:42
EST-197,A,,,,,,,,prospective cohort,PARTIAL,235,,,,,,,2020,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Gel de fagos con accion antibacteriana y analgesica aplicado antes de procedimientos instrumentales urologicos. Sin organismo diana.,"ALERTA DE PICO: es PREVENCION de complicaciones infecciosas del procedimiento, no tratamiento. 235 mujeres sin grupo control declarado en el resumen.",2026-08-10 19:42
EST-198,A,,,,,,topical/local,,non-randomised trial,PARTIAL,30,,,,,,,2022,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Estomatitis aftosa de patogenia infeccioso-alergica, no una infeccion por Pseudomonas. La microflora oral evaluada no se desglosa.","DEFECTO DE DISENO GRAVE: el grupo control son 20 NINOS SANOS sin la enfermedad, no pacientes con otro tratamiento. Eso no es un comparador de eficacia. Tratar como serie de un solo brazo, n=30.",2026-08-10 19:42
EST-199,A,,,,,,,,case report,PARTIAL,1,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"La intervencion es una ENDOLISINA muralitica derivada de fago, NO un fago entero. Y el organismo es Enterococcus faecalis, no Pseudomonas.","Doble motivo de exclusion: la intervencion no es fagoterapia segun el protocolo (codigo OFF) y el organismo no es el diana (codigo ORG). Decidir explicitamente si los derivados de fago entran o no, y dejarlo escrito.",2026-08-10 19:42
EST-200,A,,,,,,,,non-randomised trial,PARTIAL,108,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Flora vaginal estudiada por microscopia, cultivo con sensibilidad a antibioticos y fagos por difusion en disco, y PCR cuantitativa. Sin organismos desglosados.","ALERTA DE PICO: es PROFILAXIS de complicaciones infecciosas de cesarea. Aun asi, el comparador es cefazolina, un antibiotico activo, lo que es infrecuente y valioso. 108 frente a 132.",2026-08-10 19:42
EST-205,A,,,,,,,,,PARTIAL,,,,,,,,2017,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Sin resumen. Infecciones cronicas tratadas con bacteriofagos, sin mas detalle disponible.",Sin resumen y en revista cubana de circulacion restringida. Junto con EST-142 es de los mas dificiles de recuperar; la peticion a los autores puede ser la unica via.,2026-08-10 19:42
EST-206,A,,,,,,,,prospective cohort,PARTIAL,,,,,,,,2019,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,Piobacteriofago polivalente (sekstafag) en sinusitis aguda. Ningun dato microbiologico en el resumen.,"El resumen no contiene UNA SOLA cifra: ni n, ni desenlaces, ni comparador. Es un estudio observacional no intervencionista de poscomercializacion. Todo depende del texto completo.",2026-08-10 19:42
EST-207,A,,,,,,,,case report,PARTIAL,1,,,,,,,2020,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. Infeccion de dispositivo cardiaco implantable mas injerto aortico.,Sin resumen. Misma indicacion que EST-106 (injerto aortico infectado): comprobar que no sean el mismo paciente reportado dos veces por grupos distintos.,2026-08-10 19:42
EST-208,A,,,,,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2020,,,Alemania,Resumen del registro bibliográfico; texto completo NO consultado,,Infeccion cronica recurrente de la bomba de asistencia ventricular izquierda. El resumen no declara el organismo.,"ALERTA DE SOLAPAMIENTO: EST-077, EST-124, EST-140, EST-159, EST-207, EST-208 y EST-212 son todos infeccion de dispositivo cardiaco tratada con fago, varios de centros alemanes. Cruzar centro, ano y descripcion del paciente antes de contarlos como casos independientes.",2026-08-10 19:42
EST-212,A,,,,,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Infeccion del cable de alimentacion de asistencia ventricular izquierda. Sin organismo declarado en el resumen.,"Mismo grupo de solapamiento que EST-208. Ademas hubo desbridamiento quirurgico ademas del antibiotico y el fago: tres intervenciones simultaneas, atribucion al fago no defendible sin el texto completo.",2026-08-10 19:42
EST-219,A,,,,,,topical/local,,non-randomised trial,PARTIAL,,,,,,,,2023,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Los organismos declarados son Staphylococcus, Streptococcus y Pasteurella multocida tras mordedura de mascota. NO se menciona P. aeruginosa.",111 pacientes en dos grupos pero el resumen NO da el reparto entre ellos: sin denominadores por grupo no hay nada extraible. Riesgo alto de exclusion con codigo ORG.,2026-08-10 19:42
